TRACT,ZIP
13241970302,30552
13243790100,39886
13243790200,39840
13245000100,30904
13245000200,30904
13245000300,30904
13245000600,30901
13245000700,30903
13245000900,30901
13245001000,30904
13245001100,30904
13245001200,30904
13245001300,30904
13245001400,30901
13245001500,30901
13245001601,30909
13245001602,30909
13245010101,30904
13245010104,30907
13245010105,30907
13245010106,30909
13245010107,30909
13245010201,30909
13245010203,30909
13245010204,30909
13245010300,30904
13245010400,30906
13245010504,30906
13245010506,30906
13245010507,30906
13245010508,30906
13245010509,30906
13245010510,30916
13245010511,30906
13245010512,30906
13245010513,30906
13245010600,30901
13245010706,30906
13245010707,30815
13245010708,30815
13245010709,30906
13245010710,30906
13245010711,30815
13245010712,30815
13245010800,30905
13245010903,30815
13245010904,30815
13245010905,30906
13245010906,30815
13245011000,30901
13247060101,30012
13247060102,30012
13247060201,30012
13247060202,30094
